product_id,product_name,brand,claim_text,context,is_claim,claim_verifiable,claim_conflict,conflict_explanation
16741255609,Farmstand Flaxseed Vegan Breakfast Sandwich,Sweet Earth Natural Foods,VEGAN CHICKPEA PATTY : SILKEN TOFU,Farmstand Flaxseed Vegan Breakfast Sandwich | Sweet Earth Natural Foods,1,1,0,Claim is consistent with expected nutritional profile for this product type
44196,Cantina tortillas,M&S,No gluten,Cantina tortillas | M&S,1,1,0,Claim is consistent with expected nutritional profile for this product type
180245,Frosted Shredded Bite Size Wheats,Trader Joe's,Low fat,Frosted Shredded Bite Size Wheats | Trader Joe's,1,1,1,"Claimed 'Low fat' but Frosted Shredded Bite Size Wheats likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
11140871023,Gluten free mashed potatoes,Hungry jack,No gluten,Gluten free mashed potatoes | Hungry jack,1,1,0,Claim is consistent with expected nutritional profile for this product type
311304,Roasted Red Pepper Houmous,M&S,Chickpeas)\r\nRoasted Red Peppers (20%)\r\nRapeseed Oil\r\nTahini (Sesame Seed Paste)\r\nWater\r\nRed Chilli Purée\r\nConcentrated Lemon Juice\r\nExtra Virgin Olive Oil\r\nSugar\r\nSalt\r\nGarlic\r\nColour: Paprika Extract'},Roasted Red Pepper Houmous | M&S,1,1,1,"Claimed 'Chickpeas)\r\nRoasted Red Peppers (20%)\r\nRapeseed Oil\r\nTahini (Sesame Seed Paste)\r\nWater\r\nRed Chilli Purée\r\nConcentrated Lemon Juice\r\nExtra Virgin Olive Oil\r\nSugar\r\nSalt\r\nGarlic\r\nColour: Paprika Extract'}' but typical servings of Roasted Red Pepper Houmous contain 300-500mg sodium, exceeding FDA low sodium threshold of ≤140mg per serving"
612322000028,Stem Ginger Oat Biscuit Breaks,Nairn's,40% less sugar,Stem Ginger Oat Biscuit Breaks | Nairn's,1,1,0,Claim is consistent with expected nutritional profile for this product type
4061462190681,Chickpeas in Water,Four Seasons,No salt,Chickpeas in Water | Four Seasons,1,1,0,Claim is consistent with expected nutritional profile for this product type
5060360501819,Free Peach Passion Fruit 0% Fat & 0% Added Sugar Yogurt 4 x,Light & Free,Verified,Free Peach Passion Fruit 0% Fat & 0% Added Sugar Yogurt 4 x | Light & Free,1,0,0,Claim is consistent with expected nutritional profile for this product type
4056489563662,Fromage blanc,"Envia, Lidl",Nutriscore A,"Fromage blanc | Envia, Lidl",1,0,0,Claim is consistent with expected nutritional profile for this product type
5099749001893,Low Fat Bio Organic Natural Live Yogurt,Glenisk,Love Irish Food,Low Fat Bio Organic Natural Live Yogurt | Glenisk,1,0,0,Claim is consistent with expected nutritional profile for this product type
22655702054,Fresh Everyday Ground Turkey,Butterball  Llc,No gluten,Fresh Everyday Ground Turkey | Butterball  Llc,1,1,0,Claim is consistent with expected nutritional profile for this product type
14100070337,Homestyle Oat Bread,Pepperidge Farm,No Trans Fat,Homestyle Oat Bread | Pepperidge Farm,1,1,0,Claim is consistent with expected nutritional profile for this product type
28835204004,Grated Parmesan Cheese Alternative,Bookhaus,No lactose,Grated Parmesan Cheese Alternative | Bookhaus,1,1,0,Claim is consistent with expected nutritional profile for this product type
41420560354,"Black forest organic, organic sour licorice bites, strawberry","Black Forest,  Black Forest Organic",organic sunflower oil,"Black forest organic, organic sour licorice bites, strawberry | Black Forest,  Black Forest Organic",1,0,0,Claim is consistent with expected nutritional profile for this product type
38261857354,Kosher Dill Pickles,Bubbies,No added sugar,Kosher Dill Pickles | Bubbies,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
11110993786,mini pepperoni,Kroger,No gluten,mini pepperoni | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
39978003164,Stone Ground White Rice Flour,"Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",No gluten,"Stone Ground White Rice Flour | Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
2000019655,Muesli superfruit,,No added sugar,Muesli superfruit |,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
41151074816,Light Garlic & Herb,The Laughing Cow,Low fat,Light Garlic & Herb | The Laughing Cow,1,1,1,"Claimed 'Low fat' but Light Garlic & Herb likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
11150990172,100% Lactose Free Milk,Roundy's,Fat free milk,100% Lactose Free Milk | Roundy's,1,1,0,Claim is consistent with expected nutritional profile for this product type
5411188106852,Alpro 2x blueberry 2x cherry,Alpro,100% vegetable,Alpro 2x blueberry 2x cherry | Alpro,1,1,0,Claim is consistent with expected nutritional profile for this product type
39978004680,Chocolate cake mix gluten free,"Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",Chocolate cake mix gluten free,"Chocolate cake mix gluten free | Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
22655717713,Sweet Turkey Sausage,"Butterball,  Butterball  Llc",No gluten,"Sweet Turkey Sausage | Butterball,  Butterball  Llc",1,1,0,Claim is consistent with expected nutritional profile for this product type
5055940100513,Benecol,Benecol,Contains milk,Benecol | Benecol,1,0,0,Claim is consistent with expected nutritional profile for this product type
24000163077,Sweet Peas,Del Monte,No added sugar,Sweet Peas | Del Monte,1,1,0,Claim is consistent with expected nutritional profile for this product type
33919000458,Flying Cauldron Butterscotch Beer,Reed's,No gluten,Flying Cauldron Butterscotch Beer | Reed's,1,1,0,Claim is consistent with expected nutritional profile for this product type
21500806121,SEASONED SALT,LAWRY'S,No gluten,SEASONED SALT | LAWRY'S,1,1,0,Claim is consistent with expected nutritional profile for this product type
791669620196,Quick oats,Ralston Foods,Whole Grain; Heart Healthy,Quick oats | Ralston Foods,1,1,0,Claim is consistent with expected nutritional profile for this product type
41220335602,Organics 100% juice cranberry blend,"Organics,  H-E-B",Organics 100% juice cranberry blend,"Organics 100% juice cranberry blend | Organics,  H-E-B",1,1,0,Claim is consistent with expected nutritional profile for this product type
26400440406,Lactose Free Low Fat Milk,Darigold, 'LOWFAT MILK,Lactose Free Low Fat Milk | Darigold,1,1,1,"Claimed ' 'LOWFAT MILK' but Lactose Free Low Fat Milk likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
34856226994,Fruit snacks pouches fruit punch berries n cherries,"Welch's,  Promotion In Motion Inc.",No gluten,"Fruit snacks pouches fruit punch berries n cherries | Welch's,  Promotion In Motion Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
41335000501,Italian Dressing & Marinade,Ken's Steak House,No gluten,Italian Dressing & Marinade | Ken's Steak House,1,1,0,Claim is consistent with expected nutritional profile for this product type
5000157078773,BEANZ In a rich tomato sauce NO ADDED SUGAR,HEINZ,Sans gluten,BEANZ In a rich tomato sauce NO ADDED SUGAR | HEINZ,1,1,0,Claim is consistent with expected nutritional profile for this product type
3168930002987,Cuites au four nature,Lay’s,50% less fat,Cuites au four nature | Lay’s,1,1,0,Claim is consistent with expected nutritional profile for this product type
11384160044,Lactose Free-Made With Milk,Yami,Lactose Free-Made With Milk'},Lactose Free-Made With Milk | Yami,1,1,0,Claim is consistent with expected nutritional profile for this product type
23923201965,Organic Sunny Days Snack Bars,Earth's Best,ORGANIC SUNFLOWER AND,Organic Sunny Days Snack Bars | Earth's Best,1,0,0,Claim is consistent with expected nutritional profile for this product type
21908812427,Fd shd tst gd ktl cked sweet pot chips original,Food Should Taste Good,Reduced fat,Fd shd tst gd ktl cked sweet pot chips original | Food Should Taste Good,1,1,1,"Claimed 'Reduced fat' but Fd shd tst gd ktl cked sweet pot chips original likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
5014213001063,Smooth peanut butter,Meridian,The Vegan Society,Smooth peanut butter | Meridian,1,0,0,Claim is consistent with expected nutritional profile for this product type
42272905829,Lentil Vegetable Organic Soup,Amy's Kitchen (Lower Sodium),Certified B Corporation,Lentil Vegetable Organic Soup | Amy's Kitchen (Lower Sodium),1,0,0,Claim is consistent with expected nutritional profile for this product type
34000450213,Milk chocolate miniature peanut butter cups,Reese's,No gluten,Milk chocolate miniature peanut butter cups | Reese's,1,1,0,Claim is consistent with expected nutritional profile for this product type
28000081409,Milk chocolate,Nestlé,No gluten,Milk chocolate | Nestlé,1,1,0,Claim is consistent with expected nutritional profile for this product type
11150589345,"Ice Cream Sandwiches, Vanilla",Roundy's,No added sugar,"Ice Cream Sandwiches, Vanilla | Roundy's",1,1,0,Claim is consistent with expected nutritional profile for this product type
26875999928,Smoked Beef Sauasge,Kiolbassa,No lactose,Smoked Beef Sauasge | Kiolbassa,1,1,0,Claim is consistent with expected nutritional profile for this product type
15953702017,"Hawaii's, Diamond Head Delights Mango Slices",Nature's World Llc,low sugar,"Hawaii's, Diamond Head Delights Mango Slices | Nature's World Llc",1,1,1,"Claimed 'low sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
3245412901454,Noix de cajou grillées,Carrefour,Made in Belgium,Noix de cajou grillées | Carrefour,1,0,0,Claim is consistent with expected nutritional profile for this product type
31506771118,White American Pasteurized Process Cheese,Dietz & Watson,No lactose,White American Pasteurized Process Cheese | Dietz & Watson,1,1,0,Claim is consistent with expected nutritional profile for this product type
30000315958,Protein Instant Oatmeal Banana Nut,Quaker,Whole Grains Council,Protein Instant Oatmeal Banana Nut | Quaker,1,0,0,Claim is consistent with expected nutritional profile for this product type
5015285810898,Three Bean Chilli,Free and Easy,No nuts,Three Bean Chilli | Free and Easy,1,1,0,Claim is consistent with expected nutritional profile for this product type
14100074670,Sourdough Bread,Pepperidge Farm Farmhouse,Low fat,Sourdough Bread | Pepperidge Farm Farmhouse,1,1,1,"Claimed 'Low fat' but Sourdough Bread likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
11778,All Butter Reduced Fat Stem Ginger Cookies,Marks & Spencer,All Butter Reduced Fat Stem Ginger Cookies'},All Butter Reduced Fat Stem Ginger Cookies | Marks & Spencer,1,1,1,"Claimed 'All Butter Reduced Fat Stem Ginger Cookies'}' but All Butter Reduced Fat Stem Ginger Cookies likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
30304600323,100% Fresh Squeezed Orange Juice,,No added sugar,100% Fresh Squeezed Orange Juice |,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
25484000124,Extra Firm Tofu,Vitasoy Usa Inc.,No gluten,Extra Firm Tofu | Vitasoy Usa Inc.,1,1,0,Claim is consistent with expected nutritional profile for this product type
26400440413,Lactose Free Low Fat Milk,Darigold,LOWFAT MILK,Lactose Free Low Fat Milk | Darigold,1,1,1,"Claimed 'LOWFAT MILK' but Lactose Free Low Fat Milk likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
14054061054,strawberry c monster smoothie,odwalla,No added sugar,strawberry c monster smoothie | odwalla,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
11110798091,Lactose free chocolate milk,"Kroger,  The Kroger Co.", 'Lactose free chocolate milk'},"Lactose free chocolate milk | Kroger,  The Kroger Co.",1,1,0,Claim is consistent with expected nutritional profile for this product type
3245550078681,Snack poppé T&H,Too GoodFrance,Afdiag,Snack poppé T&H | Too GoodFrance,1,0,0,Claim is consistent with expected nutritional profile for this product type
17082117274,Original Beef Jerky,Jack Link's,Source of proteins,Original Beef Jerky | Jack Link's,1,1,0,Claim is consistent with expected nutritional profile for this product type
17082707468,Teriyaki Beef Jerky,Jack Link's,Low fat,Teriyaki Beef Jerky | Jack Link's,1,1,1,"Claimed 'Low fat' but Teriyaki Beef Jerky likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
5900012000232,"Olej rzepakowy z pierwszego tłoczenia, filtrowany",Kujawski,No additives,"Olej rzepakowy z pierwszego tłoczenia, filtrowany | Kujawski",1,1,0,Claim is consistent with expected nutritional profile for this product type
11140424007,Classic mashed potatoes,Basic American Foods,No gluten,Classic mashed potatoes | Basic American Foods,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110825568,"Kroger, lactose free 2% reduced fat milk","Kroger,  The Kroger Co.",lactose free 2% reduced fat milk'},"Kroger, lactose free 2% reduced fat milk | Kroger,  The Kroger Co.",1,1,1,"Claimed 'lactose free 2% reduced fat milk'}' but Kroger, lactose free 2% reduced fat milk likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
3392460481114,Biscottes Pleine vie Sans sel ajouté,"Heudebert, Lu, Mondelez",Peu ou pas de sel,"Biscottes Pleine vie Sans sel ajouté | Heudebert, Lu, Mondelez",1,0,0,Claim is consistent with expected nutritional profile for this product type
11110977243,Black Forest Uncured Ham,Kroger,No gluten,Black Forest Uncured Ham | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
38261857477,Sauerkraut,Bubbies,No added sugar,Sauerkraut | Bubbies,1,1,0,Claim is consistent with expected nutritional profile for this product type
21130070992,Chocolate reduced fat milk,Lucerne Dairy Farms,fat free milk,Chocolate reduced fat milk | Lucerne Dairy Farms,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110505637,Protein smoothie,Kroger,No lactose,Protein smoothie | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
51378,Diet Sparkling red cherry,Marks & Spencer,No added sugar,Diet Sparkling red cherry | Marks & Spencer,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
71604,CRANBERRY & RASPERRY JUICE DRINK,M&S,No added sugar,CRANBERRY & RASPERRY JUICE DRINK | M&S,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110856326,Puree Canola Oil,Kroger,No gluten,Puree Canola Oil | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
5055940100537,Raspberry,Benecol,Low-content-of-saturated-fat,Raspberry | Benecol,1,1,1,"Claimed 'Low-content-of-saturated-fat' but Raspberry likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
35971800045,"Meijer, organic garden salad, organic ranch dressing",Meijer,reduced-sugar,"Meijer, organic garden salad, organic ranch dressing | Meijer",1,1,1,"Claimed 'reduced-sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
75810004258,Organic Tamari Gluten Free Soy Sauce Reduced Sodium,San-J,no-gmos,Organic Tamari Gluten Free Soy Sauce Reduced Sodium | San-J,1,0,0,Claim is consistent with expected nutritional profile for this product type
39978024534,Baking Flour,"Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",No gluten,"Baking Flour | Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
22000017758,Skittles Sweets And Sours Boite Theatre,Skittles,Sans gluten,Skittles Sweets And Sours Boite Theatre | Skittles,1,1,0,Claim is consistent with expected nutritional profile for this product type
41220001644,Condensed Soup,H-E-B,No gluten,Condensed Soup | H-E-B,1,1,0,Claim is consistent with expected nutritional profile for this product type
15654001068,Applesauce Natural,Mott's,No added sugar,Applesauce Natural | Mott's,1,1,0,Claim is consistent with expected nutritional profile for this product type
15400008754,"Whipped Dessert Topping, Lactose Free",Western Family,Lactose Free',"Whipped Dessert Topping, Lactose Free | Western Family",1,1,0,Claim is consistent with expected nutritional profile for this product type
11110845931,Almond Milk,The Kroger Co.,No lactose,Almond Milk | The Kroger Co.,1,1,0,Claim is consistent with expected nutritional profile for this product type
37600105217,Creamy Natural Peanut Butter Spread With Honey,Skippy,No gluten,Creamy Natural Peanut Butter Spread With Honey | Skippy,1,1,0,Claim is consistent with expected nutritional profile for this product type
20561338,coconut milk,"Freshona, Lidl, Vitasia",Malo ili bez masti,"coconut milk | Freshona, Lidl, Vitasia",1,1,0,Claim is consistent with expected nutritional profile for this product type
78742016856,Greek Plain,Great Value,Grade A,Greek Plain | Great Value,1,0,0,Claim is consistent with expected nutritional profile for this product type
41415155336,"Publix, greenwise, organic white corn tortilla chips","Publix,  Publix Super Markets  Inc.",organic vegetable oil (organic sunflower and,"Publix, greenwise, organic white corn tortilla chips | Publix,  Publix Super Markets  Inc.",1,0,0,Claim is consistent with expected nutritional profile for this product type
11110841858,Unsweetened Coconutmilk,"Simple Truth,  The Kroger Co.",No lactose,"Unsweetened Coconutmilk | Simple Truth,  The Kroger Co.",1,1,0,Claim is consistent with expected nutritional profile for this product type
60383216092,Reduced Sodium Chicken Broth,"Sans nom, No Name",Made in Germany,"Reduced Sodium Chicken Broth | Sans nom, No Name",1,0,0,Claim is consistent with expected nutritional profile for this product type
854252,Low fat Greek style yogurt,Marks & Spencer,Not-suitable-for-nut-allergy-sufferers,Low fat Greek style yogurt | Marks & Spencer,1,0,0,Claim is consistent with expected nutritional profile for this product type
3177500000742,Unleavened Breads,Biscuiterie d'Agen,No added fat,Unleavened Breads | Biscuiterie d'Agen,1,1,0,Claim is consistent with expected nutritional profile for this product type
41383090707,Lactose-free skim milk,"Lactaid,  Akpharma Inc.", 'Lactose-free skim milk'},"Lactose-free skim milk | Lactaid,  Akpharma Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
38900015053,Tropical Gold Premium Pineapple,Dole,No added sugar,Tropical Gold Premium Pineapple | Dole,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
36632019547,STRRAWBERRY FLAVORED BLENDED GREEK YOGURT,OIKOS TRIPLE ZERO,no-gluten,STRRAWBERRY FLAVORED BLENDED GREEK YOGURT | OIKOS TRIPLE ZERO,1,1,0,Claim is consistent with expected nutritional profile for this product type
20267605,Cashewkerne,"Alesto, 05 x Lidl 10.25",European Vegetarian Union,"Cashewkerne | Alesto, 05 x Lidl 10.25",1,0,0,Claim is consistent with expected nutritional profile for this product type
11594100472,Crispy & Crunchy Potato Chips,Pinnacle Foods Group Llc,No gluten,Crispy & Crunchy Potato Chips | Pinnacle Foods Group Llc,1,1,0,Claim is consistent with expected nutritional profile for this product type
3250390977049,Jambon sup dd csn tsr 4t 140g,Monique ranou,Low salt,Jambon sup dd csn tsr 4t 140g | Monique ranou,1,1,0,Claim is consistent with expected nutritional profile for this product type
5026489483030,Hummus chips tomato and basil,Eat Real,Kashrut division of the London Beth Din,Hummus chips tomato and basil | Eat Real,1,0,0,Claim is consistent with expected nutritional profile for this product type
38000138607,Salt & Vinegar Potato Crisps,Pringles,LACTOSE<,Salt & Vinegar Potato Crisps | Pringles,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110912381,Quinoa,Simple Truth Organic,No gluten,Quinoa | Simple Truth Organic,1,1,0,Claim is consistent with expected nutritional profile for this product type
36632019622,MIXED BERRY FLAVOURED OIKOS TRIPLE ZERO,OIKOS,certified-gluten-free,MIXED BERRY FLAVOURED OIKOS TRIPLE ZERO | OIKOS,1,1,0,Claim is consistent with expected nutritional profile for this product type
3229820787985,Crème de coco légère,BJORG,30% less fat,Crème de coco légère | BJORG,1,1,0,Claim is consistent with expected nutritional profile for this product type
17082470157,Jack Links Beef Jerky Jalapeño,Jack Link's,Low fat,Jack Links Beef Jerky Jalapeño | Jack Link's,1,1,1,"Claimed 'Low fat' but Jack Links Beef Jerky Jalapeño likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
5411188119586,2x Blackberry 2x Raspberry Cranberry,Alpro,ProTerra Certified,2x Blackberry 2x Raspberry Cranberry | Alpro,1,0,0,Claim is consistent with expected nutritional profile for this product type
101110,Tomato Basil Marinara,Trader Giotto's,Low fat,Tomato Basil Marinara | Trader Giotto's,1,1,1,"Claimed 'Low fat' but Tomato Basil Marinara likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
5060058332152,0% added sugar 0% fat strawberry Actimel,Danone,Rich in vitamin B6,0% added sugar 0% fat strawberry Actimel | Danone,1,1,0,Claim is consistent with expected nutritional profile for this product type
154635,Bitter lemon,Sainsbury's,No added sugar,Bitter lemon | Sainsbury's,1,1,0,Claim is consistent with expected nutritional profile for this product type
24000132110,Fruit Cocktail,"Del Monte,  Del Monte Foods",No added sugar,"Fruit Cocktail | Del Monte,  Del Monte Foods",1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
41220974900,Tomato Basil Soup,H-E-B,No gluten,Tomato Basil Soup | H-E-B,1,1,0,Claim is consistent with expected nutritional profile for this product type
41449403267,Wild Blueberry Muffin Mix,Krusteaz,certified-gluten-free,Wild Blueberry Muffin Mix | Krusteaz,1,1,0,Claim is consistent with expected nutritional profile for this product type
14054093055,Blueberry Monster,,No added sugar,Blueberry Monster |,1,1,1,"Claimed 'No added sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
41220851355,"H-e-b organics, sunflower seeds","H-E-B,  H E Butt Grocery Company",Organic dry roasted sunflower seeds,"H-e-b organics, sunflower seeds | H-E-B,  H E Butt Grocery Company",1,0,0,Claim is consistent with expected nutritional profile for this product type
41383090233,1% lowfat milk,"Lactaid,  Akpharma Inc.", '1% lowfat milk'},"1% lowfat milk | Lactaid,  Akpharma Inc.",1,1,1,"Claimed ' '1% lowfat milk'}' but 1% lowfat milk likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
26825000117,Sugar Free BBQ Sauce Hickory Flavored,G Hughes Smokehouse,No gluten,Sugar Free BBQ Sauce Hickory Flavored | G Hughes Smokehouse,1,1,0,Claim is consistent with expected nutritional profile for this product type
41383090257,Fat free milk,"Lactaid,  Akpharma Inc.",Fat free milk'},"Fat free milk | Lactaid,  Akpharma Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
30000570418,Protein Instant Oatmeal Maple & Brown Sugar,Quaker,Whole grain,Protein Instant Oatmeal Maple & Brown Sugar | Quaker,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110799029,Microwave popcorn original butter,Kroger,No gluten,Microwave popcorn original butter | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
176378,Broccoli Cheese Tomato Quiche,Marks & Spencers,Wheatflour contains  Gluten<,Broccoli Cheese Tomato Quiche | Marks & Spencers,1,1,0,Claim is consistent with expected nutritional profile for this product type
41260363788,"Whey & Soy Protein, Flavored Drink Mix, Vanilla",Kroger,No lactose,"Whey & Soy Protein, Flavored Drink Mix, Vanilla | Kroger",1,1,0,Claim is consistent with expected nutritional profile for this product type
30034068660,Diet Tonic Water,"Giant Eagle,  Giant Eagle  Inc.",No gluten,"Diet Tonic Water | Giant Eagle,  Giant Eagle  Inc.",1,1,0,Claim is consistent with expected nutritional profile for this product type
20615420,Paahdettu maapähkinä,Alesto,Nutriscore B,Paahdettu maapähkinä | Alesto,1,0,0,Claim is consistent with expected nutritional profile for this product type
5060853640704,Super Berry Oat Bars,Bio & Me,No artificial preservatives,Super Berry Oat Bars | Bio & Me,1,1,0,Claim is consistent with expected nutritional profile for this product type
2000000448,Jabra Jabra JX-10 Xtra Earhook Bulk,,Sans lactose,Jabra Jabra JX-10 Xtra Earhook Bulk |,1,0,0,Claim is consistent with expected nutritional profile for this product type
11110505040,Vividly Vanilla Reduced Fat Ice Cream,Kroger Deluxe Churned, 'Vividly Vanilla Reduced Fat Ice Cream'},Vividly Vanilla Reduced Fat Ice Cream | Kroger Deluxe Churned,1,1,1,"Claimed ' 'Vividly Vanilla Reduced Fat Ice Cream'}' but Vividly Vanilla Reduced Fat Ice Cream likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
25800028900,Thin Crust Cheese Pizza,Smart Ones,Low fat,Thin Crust Cheese Pizza | Smart Ones,1,1,1,"Claimed 'Low fat' but Thin Crust Cheese Pizza likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
3033490545185,Activia bifidus nature 0% de mg 125 g x 8,"Activia,Danone",No fat,"Activia bifidus nature 0% de mg 125 g x 8 | Activia,Danone",1,1,0,Claim is consistent with expected nutritional profile for this product type
5010477300508,Country Crisp with Sun-Ripe Strawberries imp,Jordans,Sustainable,Country Crisp with Sun-Ripe Strawberries imp | Jordans,1,0,0,Claim is consistent with expected nutritional profile for this product type
28400083591,Smartfood Popcorn White Cheddar Cheese,Smartfood,No gluten,Smartfood Popcorn White Cheddar Cheese | Smartfood,1,1,0,Claim is consistent with expected nutritional profile for this product type
